-2,int,1,4
5,main,1,12
31,(,1,17
32,),1,19
28,{,2,2
-2,char,3,5
42,_name,3,15
26,=,3,22
34,",3,25
48,hi hjy",3,33
30,;,3,41
-2,char,4,5
42,_name1,4,16
26,=,4,24
43,123,4,29
30,;,4,33
-2,int,5,4
42,a,5,9
26,=,5,12
43,123,5,17
30,;,5,21
-2,int,6,4
42,b,6,9
26,=,6,12
44,1.23,6,18
30,;,6,23
-2,double,7,7
42,c,7,15
26,=,7,18
44,0.23,7,24
30,;,7,29
-2,float,8,6
42,d,8,13
26,=,8,16
44,14.23,8,23
30,;,8,29
-2,int,9,4
42,e,9,9
26,=,9,12
45,0b10100,9,21
30,;,9,29
-2,int,10,4
42,f,10,9
26,=,10,12
43,0,10,15
43,123,10,19
30,;,10,23
-2,int,11,4
42,g,11,9
26,=,11,12
47,0x123,11,19
42,GG,11,26
30,;,11,29
-2,int,12,4
42,h,12,9
26,=,12,12
45,0b1,12,17
43,23,12,22
30,;,12,25
-2,int,13,4
42,i,13,9
26,=,13,12
46,0o,13,16
43,888,13,21
30,;,13,25
-2,int,14,4
43,123,14,11
42,sum,14,17
26,=,14,22
43,0,14,25
30,;,14,27
42,for,15,4
31,(,15,9
-2,int,15,13
26,=,15,18
43,1,15,21
30,;,15,23
42,i,15,26
41,<=,15,30
43,100,15,36
30,;,15,40
42,i,15,43
26,=,15,46
42,i,15,49
22,+,15,52
43,1,15,55
28,{,16,2
42,sum1,17,5
26,=,17,11
42,sum1,17,17
22,+,17,23
42,i,17,26
30,;,17,28
9,return,18,7
43,0,18,15
30,;,18,17
29,},19,2
